Fecha de actualización;Coordinación Zonal;Provincia;Cantón;Estado;Características de cubierta del escenario;Longitud;Latitud;Nombre del Propietario;Nombre del Administrador;Tipo de propiedad;Hora de apertura;Hora de cierre;;Uso del escenario deportivo;Costo por uso de las instalaciones
26/11/2021 14:55;Zonal 6;Cañar;Azogues;Bueno;Cubierto;-784.808.775;-0.18779;Diocesis de Azogues;Padre Jose Romero;Privado;2:00 p. m.;5:00 p. m.;;COLISEO;0
17/11/2021 11:30;Zonal 7;Zamora Chinchipe;Sucua;Regular;Cubierto;-791.308.228;-48.651.082;LDC DE CHINCHIPE;LDC DE CHINCHIPE;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
17/11/2021 11:29;Zonal 7;Zamora Chinchipe;Sucua;Regular;Cubierto;-791.308.228;-48.651.082;LDC DE CHINCHIPE;LDC DE CHINCHIPE;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
17/11/2021 11:10;Zonal 7;Zamora Chinchipe;Santiago;Bueno;Descubierto;-791.354.792;-48.716.572;LDC DE CHINCHIPE;LDC DE CHINCHIPE;Público;8:00 a. m.;5:00 p. m.;;ESTADIO;0
17/11/2021 11:10;Zonal 7;Zamora Chinchipe;Santiago;Bueno;Descubierto;-791.354.792;-48.716.572;LDC DE CHINCHIPE;LDC DE CHINCHIPE;Público;8:00 a. m.;5:00 p. m.;;ESTADIO;0
17/11/2021 10:57;Zonal 7;Zamora Chinchipe;Sucua;Regular;Cubierto;-791.295.998;-48.654.506;LDC DE CHINCHIPE;LDC DE CHINCHIPE;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
17/11/2021 10:55;Zonal 7;Zamora Chinchipe;Sucua;Regular;Cubierto;-791.295.998;-48.654.506;LDC DE CHINCHIPE;LDC DE CHINCHIPE;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
15/11/2021 11:44;Zonal 7;Zamora Chinchipe;Sucua;Regular;Descubierto;-786.772.836;-39.310.368;LDC DE PAQUISHA;LDC DE PAQUISHA;Público;8:00 a. m.;5:00 p. m.;;ESTADIO;0
15/11/2021 11:43;Zonal 7;Zamora Chinchipe;Sucua;Regular;Descubierto;-786.772.836;-39.310.368;LDC DE PAQUISHA;LDC DE PAQUISHA;Público;8:00 a. m.;5:00 p. m.;;ESTADIO;0
10/11/2021 13:45;Zonal 7;Loja;Taisha;Muy buena;Descubierto;-794.388.443;-42.307.779;LDC DE GONZANAMA;LDC DE GONZANAMA;Público;8:00 a. m.;5:00 p. m.;;CANCHA DE USO MULTIPLE;0
10/11/2021 13:44;Zonal 7;Loja;Taisha;Muy buena;Descubierto;-794.388.443;-42.307.779;LDC DE GONZANAMA;LDC DE GONZANAMA;Público;8:00 a. m.;5:00 p. m.;;CANCHA DE USO MULTIPLE;0
09/11/2021 12:43;Zonal 7;Zamora Chinchipe;Sucua;Regular;Cubierto;-787.631.073;-38.277.727;LDC YANTZAZA;LDC YANTZAZA;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
09/11/2021 12:35;Zonal 7;Zamora Chinchipe;Logrono;Bueno;Descubierto;-787.553.253;-37.952.933;GAD YANTZAZA;GAD YANTZAZA;Público;8:00 a. m.;5:00 p. m.;;ESTADIO;0
09/11/2021 11:52;Zonal 7;Zamora Chinchipe;Santiago;Bueno;Descubierto;-785.840.597;-36.262.561;GAD EL PANGUI;GAD EL PANGUI;Público;8:00 a. m.;5:00 p. m.;;ESTADIO;0
09/11/2021 11:45;Zonal 7;Zamora Chinchipe;Palora;Bueno;Cubierto;-785.840.347;-36.262.786;LDC DE PANGUI;LDC DE EL PANGUI;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
09/11/2021 11:43;Zonal 7;Zamora Chinchipe;Palora;Bueno;Cubierto;-784.936.127;-35.755.929;LDC DE PANGUI;LDC DE EL PANGUI;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
